TITLE-ID,Name,Platforms,Price,Store-Link,Image-Link
NPUH10088,101-in-1 Megamix,"PSP, PS Vita",$9.99,https://store.playstation.com/#!/en-us/games/101-in-1-megamix/cid=UP4069-NPUH10088_00-101IN1MEGAMIXPSP,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP4069-NPUH10088_00-101IN1MEGAMIXPSP/1489794729000/image
NPUI94508,2Xtreme® (PSOne Classic),"PS3, PSP, PS Vita",$5.99,https://store.playstation.com/#!/en-us/games/2xtreme-(psone-classic)/cid=UP9000-NPUI94508_00-COMBINED00000001,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP9000-NPUI94508_00-COMBINED00000001/1490811063000/image
ULUS10241,300: March To Glory™,"PSP, PS Vita",$9.99,https://store.playstation.com/#!/en-us/games/300-march-to-glory/cid=UP1018-ULUS10241_00-300MARCHTOGLORY1,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP1018-ULUS10241_00-300MARCHTOGLORY1/1489716872000/image
NPUZ00189,"3,2,1...SuperCrash!","PS3, PSP, PS Vita",$2.99,https://store.playstation.com/#!/en-us/games/321supercrash/cid=UP4128-NPUZ00189_00-SUPERCRASH002010,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP4128-NPUZ00189_00-SUPERCRASH002010/1489796495000/image
NPUZ00104,4x4 Jam,"PS3, PSP, PS Vita",$6.99,https://store.playstation.com/#!/en-us/games/4x4-jam/cid=UP4147-NPUZ00104_00-4X4JAMPSPMINISUS,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP4147-NPUZ00104_00-4X4JAMPSPMINISUS/1489721617000/image
NPUZ00078,5-in-1 Arcade Hits,"PS3, PSP, PS Vita",$1.99,https://store.playstation.com/#!/en-us/games/5-in-1-arcade-hits/cid=UP4151-NPUZ00078_00-5IN1ARCADEHITSUS,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP4151-NPUZ00078_00-5IN1ARCADEHITSUS/1493327425000/image
ULUS10227,7 Wonders of the Ancient World,"PSP, PS Vita",$9.99,https://store.playstation.com/#!/en-us/games/7-wonders-of-the-ancient-world/cid=UP2008-ULUS10227_00-0011011101010111,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP2008-ULUS10227_00-0011011101010111/1489713203000/image
NPUB50272,Aabs Animals ('PS Vita' & PS3™) Bundle,"PS3, PS Vita",$8.99,https://store.playstation.com/#!/en-us/games/aabs-animals-('ps-vita'-ps3)-bundle/cid=UP5013-NPUB50272_00-B000000000001445,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP5013-NPUB50272_00-B000000000001445/1493138035000/image
PCSE00726,A Boy and His Blob,PS Vita,$9.99,https://store.playstation.com/#!/en-us/games/a-boy-and-his-blob/cid=UP1012-PCSE00726_00-BOYANDBLOBVITA00,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP1012-PCSE00726_00-BOYANDBLOBVITA00/1494947555000/image
NPUZ00109,Ace Armstrong Vs. The Alien Scumbags!,"PS3, PSP, PS Vita",$5.99,https://store.playstation.com/#!/en-us/games/ace-armstrong-vs-the-alien-scumbags/cid=UP4132-NPUZ00109_00-AAVTAS0000000001,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP4132-NPUZ00109_00-AAVTAS0000000001/1493075032000/image
